"filename", "language", "Java", "Properties", "Markdown", "comment", "blank", "total"
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/bwbot/querygen/searches/SearchHandler.java", "Java", 56, 0, 0, 38, 26, 120
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/bwbot/querygen/util/CLI.java", "Java", 12, 0, 0, 2, 9, 23
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/README.md", "Markdown", 0, 0, 0, 0, 1, 1
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/main/Main.java", "Java", 44, 0, 0, 17, 21, 82
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/main/config.properties", "Properties", 0, 8, 0, 0, 0, 8
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/plugin/Plugins.java", "Java", 51, 0, 0, 79, 47, 177
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/plugin/README.md", "Markdown", 0, 0, 0, 0, 1, 1
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/util/CLI.java", "Java", 31, 0, 0, 12, 17, 60
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/util/Heartbeat.java", "Java", 21, 0, 0, 11, 15, 47
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/bot/util/LogRepeater.java", "Java", 22, 0, 0, 11, 14, 47
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/CLI.java", "Java", 14, 0, 0, 8, 11, 33
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/Main.java", "Java", 34, 0, 0, 13, 17, 64
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/README.md", "Markdown", 0, 0, 0, 0, 1, 1
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/BotMgmt.java", "Java", 56, 0, 0, 59, 43, 158
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/heartbeat/HeartbeatServer.java", "Java", 88, 0, 0, 63, 61, 212
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/heartbeat/MultipleBeats.java", "Java", 8, 0, 0, 7, 8, 23
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/info/BotAnnounceServer.java", "Java", 25, 0, 0, 15, 15, 55
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/info/InfoRequestServer.java", "Java", 21, 0, 0, 15, 13, 49
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/botmgmt/info/InfoResponseClient.java", "Java", 58, 0, 0, 18, 31, 107
"/Users/Joseph/Desktop/GitHub/Distributed-Automation-2/DA2/src/com/jtelaa/da2/director/config.properties", "Properties", 0, 2, 0, 0, 0, 2
